>>>> IterationI 0
Independent Set 0 :  LUT
Site 0 | (79, 126, 0) -> (82, 126, 2) | Instance:0
Site 1 | (79, 126, 2) -> (80, 129, 0) | Instance:0
Site 2 | (79, 126, 8) -> (79, 125, 2) | Instance:1250
Site 3 | (80, 126, 0) -> (79, 127, 2) | Instance:0
Site 4 | (80, 126, 2) -> (75, 126, 10) | Instance:0
Site 5 | (79, 127, 0) -> (82, 126, 0) | Instance:0
Site 6 | (79, 127, 2) -> (76, 126, 0) | Instance:0
Site 7 | (79, 125, 0) -> (77, 128, 0) | Instance:0
Site 8 | (79, 125, 2) -> (76, 127, 8) | Instance:0
Site 9 | (80, 127, 0) -> (80, 128, 2) | Instance:0
Site 10 | (80, 127, 2) -> (76, 125, 2) | Instance:0
Site 11 | (79, 128, 0) -> (80, 127, 2) | Instance:0
Site 12 | (79, 128, 2) -> (76, 125, 0) | Instance:0
Site 13 | (77, 126, 0) -> (79, 129, 2) | Instance:0
Site 14 | (77, 126, 2) -> (77, 124, 0) | Instance:0
Site 15 | (79, 124, 0) -> (79, 124, 0) | Instance:684
Site 16 | (80, 125, 0) -> (75, 126, 8) | Instance:0
Site 17 | (80, 125, 2) -> (80, 125, 0) | Instance:0
Site 18 | (82, 126, 0) -> (77, 124, 2) | Instance:0
Site 19 | (82, 126, 2) -> (80, 125, 2) | Instance:0
Site 20 | (80, 128, 0) -> (79, 126, 2) | Instance:0
Site 21 | (80, 128, 2) -> (76, 126, 2) | Instance:0
Site 22 | (79, 129, 0) -> (83, 126, 2) | Instance:0
Site 23 | (79, 129, 2) -> (83, 126, 0) | Instance:0
Site 24 | (77, 127, 0) -> (77, 125, 0) | Instance:0
Site 25 | (77, 127, 2) -> (77, 128, 2) | Instance:0
Site 26 | (76, 126, 0) -> (79, 130, 2) | Instance:0
Site 27 | (76, 126, 2) -> (77, 125, 2) | Instance:0
Site 28 | (77, 125, 0) -> (80, 126, 2) | Instance:0
Site 29 | (77, 125, 2) -> (79, 125, 0) | Instance:0
Site 30 | (77, 125, 8) -> (77, 125, 8) | Instance:1313
Site 31 | (83, 126, 0) -> (80, 128, 0) | Instance:0
Site 32 | (83, 126, 2) -> (79, 126, 8) | Instance:0
Site 33 | (82, 127, 0) -> (79, 128, 2) | Instance:0
Site 34 | (82, 127, 2) -> (80, 127, 0) | Instance:0
Site 35 | (80, 129, 0) -> (82, 127, 0) | Instance:0
Site 36 | (80, 129, 2) -> (79, 128, 0) | Instance:0
Site 37 | (79, 130, 0) -> (76, 127, 0) | Instance:0
Site 38 | (79, 130, 2) -> (79, 127, 0) | Instance:0
Site 39 | (77, 128, 0) -> (80, 129, 2) | Instance:0
Site 40 | (77, 128, 2) -> (77, 126, 2) | Instance:0
Site 41 | (76, 127, 0) -> (82, 127, 2) | Instance:0
Site 42 | (76, 127, 2) -> (80, 126, 0) | Instance:0
Site 43 | (76, 127, 8) -> (76, 127, 2) | Instance:2876
Site 44 | (75, 126, 8) -> (77, 126, 0) | Instance:0
Site 45 | (75, 126, 10) -> (79, 130, 0) | Instance:0
Site 46 | (76, 125, 0) -> (77, 127, 2) | Instance:0
Site 47 | (76, 125, 2) -> (79, 129, 0) | Instance:0
Site 48 | (77, 124, 0) -> (79, 126, 0) | Instance:0
Site 49 | (77, 124, 2) -> (77, 127, 0) | Instance:0
Total Cost: -1
Independent Set 1 :  LUT
Site 0 | (60, 121, 0) -> (59, 119, 0) | Instance:0
Site 1 | (60, 121, 2) -> (59, 122, 2) | Instance:0
Site 2 | (61, 121, 0) -> (60, 121, 0) | Instance:0
Site 3 | (61, 121, 2) -> (60, 119, 2) | Instance:0
Site 4 | (61, 121, 8) -> (64, 121, 2) | Instance:359
Site 5 | (60, 122, 8) -> (59, 121, 0) | Instance:0
Site 6 | (60, 122, 10) -> (61, 119, 2) | Instance:0
Site 7 | (59, 121, 0) -> (60, 119, 0) | Instance:0
Site 8 | (59, 121, 2) -> (58, 122, 0) | Instance:0
Site 9 | (60, 120, 0) -> (61, 120, 0) | Instance:0
Site 10 | (60, 120, 2) -> (61, 120, 2) | Instance:0
Site 11 | (61, 122, 0) -> (60, 123, 2) | Instance:0
Site 12 | (61, 122, 2) -> (61, 121, 0) | Instance:0
Site 13 | (60, 123, 0) -> (60, 124, 0) | Instance:0
Site 14 | (60, 123, 2) -> (59, 123, 2) | Instance:0
